AccountId,Account_Display_Name,Current_Tier_v1,Current_Tier_v2,tier_v3,Composite_Score,Revenue_Current,Revenue_Lifetime,Tickets_Current,Years_Loyalty
13294,Matinee Theatre School,Tier 3,Tier 4,Tier 4,39.31,178.75,287.5,295,2
13295,Love Holway,Tier 3,Free,Free,,0.0,0.0,376,3
13296,Anti-Racist Education Strategy (BHCC),Tier 2,Tier 5,Tier 5,75.84,34.75,34.75,18,2
13297,BELMONT ACADEMY EVENTS,Tier 3,Tier 4,Tier 4,49.57,89.67,186.05,362,3
13298,Star Jammers,Tier 3,Tier 4,Tier 4,34.97,207.82,312.76,185,3
13299,Marr Minis,NIL,Nil,Nil,,0.0,171.88,0,2
133,BassFACE,NIL,Nil,Nil,,0.0,1345.47,0,2
13300,DrJoeBurton,NIL,Nil,Nil,,0.0,0.0,0,1
13302,North Worcester Primary Academy,Tier 3,Free,Free,,0.0,0.0,282,2
13304,The Sinfonia Stellaris,NIL,Nil,Nil,,0.0,30.29,0,2
13308,Voices on the Wall,NIL,Nil,Nil,,0.0,0.0,0,1
13310,Property Chat Staines upon Thames,NIL,Nil,Nil,,0.0,0.0,0,1
13313,Bicycle Mayor of Cumbria group,NIL,Nil,Nil,,0.0,16.87,0,1
13314,BOOMIN HEALTHY RAVES,Tier 2,Tier 5,Tier 5,60.13,50.58,134.42,72,3
13316,FLARE,Tier 1,Tier 5,Tier 5,94.28,4.33,4.33,13,2
1332,Illuminations A Cappella,NIL,Nil,Nil,,0.0,84.96,0,1
13320,The Keys Academy Trust,Tier 4,Tier 5,Tier 5,52.37,79.42,169.92,412,3
13321,Full Cup Coaching,Tier 3,Tier 5,Tier 5,84.9,15.38,28.25,132,2
13322,One Adoption South Yorkshire,Tier 3,Free,Free,,0.0,0.0,189,2
13328,Talal,NIL,Nil,Nil,,0.0,2.17,0,1
13329,Gloucester Property Chat,NIL,Nil,Nil,,0.0,0.0,0,2
13330,University Hospital North Midlands,Tier 3,Free,Free,,0.0,0.0,176,3
13331,These Girls Van,Tier 3,Tier 4,Tier 4,43.26,100.41,526.54,83,2
13334,liv&amp;freya,NIL,Nil,Nil,,0.0,10.21,0,1
13335,Beverley Minster,High Value,Tier 2,Tier 2,6.77,2317.93,4117.13,3753,3
1334,Sewing cafe Lancaster,NIL,Nil,Nil,,0.0,30.92,0,4
13341,Exeter Stagecoach Theatre School,Tier 3,Tier 5,Tier 5,56.94,74.42,133.58,302,2
13342,Leandro Landolina,NIL,Nil,Nil,,0.0,0.0,0,1
13347,EastbourneCricket,Tier 3,Tier 4,Tier 4,50.11,103.38,176.5,93,2
13348,Denise Quigley,Tier 3,Tier 5,Tier 5,63.25,50.33,89.67,151,3
13349,Sleaford Concert Band,Tier 1,Tier 5,Tier 5,87.7,12.46,20.04,23,2
13352,D R Malcolm,NIL,Nil,Nil,,0.0,0.0,0,1
13354,Hazlehead Primary Parent Council,Tier 3,Tier 4,Tier 4,49.58,100.25,200.4,350,2
13359,Friends of Nene Valley,Tier 4,Tier 3,Tier 3,26.2,338.86,500.22,1011,3
1336,Leverton Primary School PTA,Tier 4,Tier 3,Tier 4,26.09,183.38,1077.15,309,6
13364,Pit Farm Tennis Club,Tier 2,Tier 5,Tier 5,65.86,46.42,94.92,47,2
13366,Alexandra Saffer,NIL,Nil,Nil,,2.67,10.0,8,2
13369,Malvern Male Voice Choir,Tier 2,Tier 5,Tier 5,61.24,62.87,81.21,88,3
1337,God for All,NIL,Nil,Nil,,0.0,0.0,0,1
13371,Rotary Club of Maidstone Riverside,NIL,Nil,Nil,,0.0,39.0,0,1
13372,Nicole Perez,NIL,Nil,Nil,,0.0,3.75,0,1
13375,Michelle Perrott,Tier 2,Tier 5,Tier 5,70.47,38.17,71.04,29,2
13376,Public Health Westmorland and Furness Council,Tier 2,Free,Free,,0.0,0.0,75,3
13379,Friends of Castle Donington College,Tier 3,Tier 4,Tier 4,48.15,89.17,236.83,172,3
1338,Account Deleted,NIL,Nil,Nil,,0.0,104.0,0,1
13382,Moormead Community Sports Pavilion,NIL,Nil,Nil,,0.0,31.58,0,1
13387,AMEND Patient Group Charity,Tier 2,Tier 5,Tier 5,72.98,30.21,53.33,49,3
13388,Toni Taylor-Munn: Meeting Minds,NIL,Nil,Nil,,1.63,20.04,2,2
13391,Elswick Singers,Tier 2,Tier 5,Tier 5,75.64,27.5,55.92,61,2
13392,Community Music Makers CIC,Tier 3,Tier 5,Tier 5,59.57,68.54,111.13,135,2
13399,Magda,Tier 3,Free,Free,,0.0,0.0,226,3
134,Element Dance UK - Empowerment Workshop,NIL,Nil,Nil,,0.0,28.58,0,3
1340,BeesMAX,NIL,Nil,Nil,,0.0,0.0,0,1
13400,The Great Big Yawn,NIL,Nil,Nil,,0.0,0.0,0,1
13408,Christmas Concert for Families in Need,NIL,Nil,Nil,,0.0,24.75,0,1
1341,Sedbergh Easter & Summer Courses,NIL,Nil,Nil,,0.0,92.25,0,4
13413,PDCA,NIL,Nil,Nil,,0.0,37.42,0,2
13422,Stoke Park School,Tier 4,Tier 4,Tier 4,34.8,226.84,275.85,847,3
13426,Home Interiors & Renovation Exhibition,Tier 3,Tier 5,Tier 5,71.78,30.38,64.25,174,3
13429,Bexley Grammar ACS,NIL,Nil,Nil,,0.0,1.46,0,1
1343,Jacksons of Preston Launch,NIL,Nil,Nil,,0.0,0.0,0,1
13430,Radio Wigwam,Tier 4,Tier 4,Tier 4,34.44,210.65,332.69,638,3
13431,Nature Rich Miterdale,Tier 3,Free,Free,,0.0,0.0,166,3
13433,Clifton College,High Value,Tier 4,Tier 4,28.38,326.25,390.0,2368,3
13434,Boys&#39; Division,Tier 4,Tier 3,Tier 4,26.43,271.96,751.0,457,3
13435,Tom Clare Memorial Dinner,Tier 4,Tier 3,Tier 4,25.53,344.33,546.21,161,3
13436,Banstead Community Junior School,Tier 3,Tier 4,Tier 4,40.61,126.45,468.58,325,2
13437,D Willer,NIL,Nil,Nil,,0.0,0.0,0,1
13438,Henry Marsh,NIL,Nil,Nil,,0.0,54.17,0,2
13439,GemsBookings,NIL,Nil,Nil,,0.0,0.0,0,1
1344,Newcastle High School for Girls,High Value,Tier 1,Tier 2,2.2,1945.75,8038.58,3313,8
13441,StarRocker Studios,NIL,Nil,Nil,,0.0,152.83,0,1
13446,Irthlingborough Junior School PTA,NIL,Nil,Nil,,0.0,38.67,0,1
13449,Andrew&#39;s St Andrews,NIL,Nil,Nil,,0.0,20.46,0,1
13454,Catherine Bowman,Tier 3,Free,Free,,0.0,0.0,164,3
13457,Sarah Moody,NIL,Nil,Nil,,3.44,4.94,5,2
13459,St Pauls PCC,NIL,Nil,Nil,,0.0,70.59,0,1
13461,FoWS,Tier 4,Tier 4,Tier 4,27.67,308.44,465.07,408,3
13465,Heart of Hillbourne PTA,Tier 3,Tier 4,Tier 4,48.81,114.37,172.29,341,2
13467,ScriptoriumArts,Tier 1,Tier 5,Tier 5,89.26,9.58,19.42,10,2
1347,RRWW1,NIL,Nil,Nil,,0.0,28.67,0,1
13470,LES AMIS DE L'EFB,Tier 4,Tier 4,Tier 4,38.73,185.37,291.83,529,2
13473,Provincial Grand Chapter,Tier 4,Tier 3,Tier 3,23.19,555.38,571.71,535,2
13475,Jenny Clarke,Tier 2,Tier 5,Tier 5,70.95,35.48,55.79,79,3
13476,Surrey FRS Grotto 2024,NIL,Nil,Nil,,0.0,98.25,0,1
1348,Sus4 Sessions,NIL,Nil,Nil,,0.0,316.88,0,1
13481,NCPTA,Tier 4,Tier 3,Tier 3,23.83,491.17,608.46,1265,2
13482,St Martin and St Mary CE Primary School,Tier 4,Tier 4,Tier 4,27.22,329.58,450.96,994,3
13484,swingshift,Tier 1,Tier 5,Tier 5,87.31,13.12,20.62,21,2
13485,Travis Pola-Carter,NIL,Nil,Nil,,0.33,0.67,0,3
13487,Gosden house PTA,NIL,Nil,Nil,,0.0,10.66,0,1
13490,Angel Orchestra,Tier 3,Tier 4,Tier 4,40.06,155.62,257.08,263,3
13491,Fullbrook,Tier 2,Free,Free,,0.0,0.0,124,2
13492,Sales Geek C&N Hertfordshire,NIL,Nil,Nil,,5.62,11.88,9,3
13494,Shropshire Horticultural Society,NIL,Nil,Nil,,0.0,0.0,0,1
13496,Apollo Fundraising,Tier 3,Tier 4,Tier 4,43.69,145.75,173.34,96,3
13497,Mrs E L Graham,NIL,Nil,Nil,,0.0,66.75,0,2
135,Young Cumbria Training & Consultancy,NIL,Nil,Nil,,0.0,0.0,0,1
1350,Marie Curie London  SE + East,Tier 3,Tier 4,Tier 4,46.51,130.87,178.52,349,2
13500,Autism All Stars UK,NIL,Nil,Nil,,0.0,0.0,0,2
1351,The Mind Trainer ,NIL,Nil,Nil,,0.0,288.25,0,4
13513,MeCycle / Autism Ventures,NIL,Nil,Nil,,0.0,0.0,0,1
13514,Friends of Hillmorton Primary School,Tier 4,Tier 4,Tier 4,33.12,210.48,403.81,763,3
13515,PACE Team,Tier 1,Free,Free,,0.0,0.0,29,2
13517,Cherished Child Charity,NIL,Nil,Nil,,0.0,379.62,0,2
1352,Thank you for helping Mason,NIL,Nil,Nil,,0.0,28.37,0,1
13520,Mostly Music Events,NIL,Nil,Nil,,3.21,26.25,7,1
13526,Excel Coaching,NIL,Nil,Nil,,14.75,23.5,3,2
13528,Premier Transport,High Value,Tier 2,Tier 3,11.56,1144.43,1600.37,1002,3
13529,Sales Geek Milton Keynes,Tier 1,Tier 5,Tier 5,88.69,8.75,14.38,17,3
1353,Leicester-Shire Schools Music Service,NIL,Nil,Nil,,0.0,0.0,0,1
13530,The Ferry,NIL,Nil,Nil,,0.0,43.0,0,1
13531,Spilsby Primary PTFA,Tier 4,Tier 4,Tier 4,33.14,231.03,355.71,518,3
13532,White Bridge Primary School,NIL,Nil,Nil,,0.0,0.0,0,1
13533,Funding Futures,Tier 3,Free,Free,,0.0,0.0,395,3
13534,Sales Geek Glasgow East,Tier 1,Tier 5,Tier 5,96.76,3.12,7.5,18,1
13535,Moulsham High School,Tier 3,Free,Free,,0.0,0.0,172,2
13536,All Saints Pantomime Society,Tier 3,Tier 5,Tier 5,52.06,92.72,128.1,340,3
13541,Eggar's Together,Tier 3,Tier 5,Tier 5,59.15,68.08,119.38,146,2
13545,Durham City Aquatics,Tier 3,Tier 4,Tier 4,49.46,108.98,174.36,243,2
13547,Mrs Simone Paterson-Fay,Tier 4,Free,Free,,0.0,0.0,872,3
13550,Dollar Academy Camps,Key Account,Tier 2,Tier 2,8.97,2958.92,3407.3,630,2
13554,Career Intelligence Academy,NIL,Nil,Nil,,0.0,0.0,0,1
13557,Liphook Apple Regional Training Centre,Tier 2,Free,Free,,0.0,0.0,98,3
13559,Future Faces Performing Arts School,Tier 4,Tier 3,Tier 3,16.98,677.92,1008.83,1033,3
1356,Hillingdon U3A Events,Tier 4,Tier 2,Tier 2,7.53,887.39,2831.48,816,8
13561,Brent Music Service,High Value,Tier 3,Tier 3,22.79,498.0,498.0,2922,3
13566,Pulborough Rugby Club,NIL,Nil,Nil,,0.0,23.12,0,1
1357,1st Doddington Scout Group,Tier 3,Tier 5,Tier 5,51.13,61.83,207.19,208,7
13572,Angie's Around the world menu,Tier 2,Tier 5,Tier 5,71.95,31.63,77.54,23,2
13577,First Days Children's Charity,NIL,Nil,Nil,,0.0,0.75,0,1
13580,Birkbeck Primary School,NIL,Nil,Nil,,0.0,0.0,0,1
13581,Animal Concern Cumbria,NIL,Nil,Nil,,0.0,0.0,0,2
13584,Trinity Academy,Tier 3,Tier 4,Tier 4,50.14,89.38,174.64,394,3
13586,The soul dance tribe presents UNITY,NIL,Nil,Nil,,0.0,26.57,0,2
13587,Iona Fernandes,NIL,Nil,Nil,,0.0,1.0,0,1
13588,Wokingham In Need,Tier 3,Tier 4,Tier 4,49.05,118.63,119.63,100,3
1359,Singing with Style at Surbiton High,NIL,Nil,Nil,,0.0,0.0,0,1
13590,Hilltop Social Club,Tier 3,Tier 5,Tier 5,53.27,86.24,124.2,142,3
13591,Third Knowsley Scout Group,NIL,Nil,Nil,,0.0,0.37,0,2
13594,Celebration Circle Events,Tier 3,Tier 5,Tier 5,67.05,38.5,112.71,231,2
13597,Karltons Mixtape,NIL,Nil,Nil,,0.0,26.0,0,1
13598,Arnside Choral Society,Tier 3,Tier 5,Tier 5,57.59,81.71,103.0,135,2
13599,Crossford Parent Council,NIL,Nil,Nil,,0.0,20.0,0,1
136,David Holroyd,Tier 4,Tier 3,Tier 3,22.83,233.14,981.25,445,11
13602,SB 40 Year Reunion,NIL,Nil,Nil,,0.0,133.25,0,2
13606,All Saints CIW Primary School,Tier 4,Tier 4,Tier 4,46.87,126.25,182.58,503,2
13610,Sharon Mail Book Launch,NIL,Nil,Nil,,0.0,0.0,0,2
13611,Woking Cougars Football Club,Tier 2,Tier 5,Tier 5,67.06,36.11,123.17,13,2
13612,Helen Beecroft Music,NIL,Nil,Nil,,0.0,2.25,0,1
13614,Mimic Stage School,NIL,Nil,Nil,,0.0,93.62,0,2
13615,Wilberfoss Amateur Theatre Society,Tier 3,Tier 4,Tier 4,44.0,136.42,178.04,370,3
13617,Carus Green Ltd,Tier 3,Tier 4,Tier 4,38.72,160.83,299.83,108,3
13618,Aghalee Village Hall,NIL,Nil,Nil,,0.0,0.0,0,1
13619,PPS - King’s School Rochester,Tier 4,Tier 4,Tier 4,33.04,227.08,367.88,428,3
1362,Daniel Bye,NIL,Nil,Nil,,0.0,12.79,0,1
13624,Christ Church Orchard Park,NIL,Nil,Nil,,0.0,0.0,0,1
13631,Donisthorpe Community Group,Tier 2,Tier 5,Tier 5,82.38,18.33,34.38,66,2
13632,Christopher Wray,Tier 3,Free,Free,,0.0,0.0,231,3
13638,Circus Extravaganza,Key Account,Tier 2,Tier 2,6.47,3018.59,3906.33,7373,3
1364,St Herbert's School,Tier 4,Free,Free,,0.0,0.0,453,6
13644,Richmond Music Trust,Tier 4,Tier 4,Tier 4,34.96,248.26,308.68,440,2
13645,Ashbrooke Sports Club,Tier 3,Tier 4,Tier 4,43.67,125.46,302.92,167,2
13646,moved by my soular,Tier 1,Tier 5,Tier 5,86.74,10.54,30.17,22,2
13650,The Salvation Army,Tier 1,Free,Free,,0.0,0.0,12,2
13651,Jeremy Miles,NIL,Nil,Nil,,0.0,14.22,0,2
13657,AK Daniel,Tier 1,Tier 5,Tier 5,89.11,7.33,15.33,22,3
13659,Alleyn Court PTA,Tier 4,Tier 4,Tier 4,30.04,307.62,442.04,321,2
13667,Feyu,NIL,Nil,Nil,,0.0,0.0,0,1
13669,Feyi,NIL,Nil,Nil,,0.0,0.0,0,1
13674,Arkholme CoE Primary School,Tier 4,Tier 5,Tier 5,56.23,81.58,121.14,546,2
13675,REVEAL CENTRE BATH,NIL,Nil,Nil,,0.0,0.0,0,1
13679,Brightstar,NIL,Nil,Nil,,0.0,0.0,6,1
13681,Holy Trinity High Hurstwood,Tier 2,Tier 5,Tier 5,79.69,21.63,43.08,25,2
13684,Bay Search and Rescue,NIL,Nil,Nil,,2.46,2.46,0,2
13687,Towpath Trail,Tier 2,Free,Free,,0.0,0.0,40,1
13688,Upton House School,Tier 4,Free,Free,,0.0,0.0,508,2
1369,WOTR Kendal Virtual Challenge,NIL,Nil,Nil,,0.0,38.12,0,1
13691,The Hive Party Bookings,Tier 2,Tier 5,Tier 5,54.48,78.91,130.04,50,3
13694,Home-Start In Suffolk,Tier 1,Tier 5,Tier 5,83.04,18.75,46.79,30,1
13695,Brackham U18 Girls’ Tour,Tier 2,Tier 5,Tier 5,68.83,58.5,58.5,78,1
13698,Epicurus Camden,NIL,Nil,Nil,,0.0,78.21,0,1
13699,Infant Feeding Team,NIL,Nil,Nil,,0.0,0.0,1,2
137,equicultureuk,NIL,Nil,Nil,,0.0,717.37,0,6
1370,Bolton Music Service (FF),NIL,Nil,Nil,,0.0,236.76,0,2
13702,St Josephs Juvenile GAA Club,Tier 3,Tier 4,Tier 4,47.08,97.58,232.92,405,3
13704,Grimsby Town Cricket Club,Tier 2,Tier 5,Tier 5,79.06,20.58,50.77,38,2
13705,Garboldisham Amateur Dramatic Society,NIL,Nil,Nil,,0.0,104.75,0,2
1371,TI Brands Ltd,NIL,Nil,Nil,,0.0,0.0,0,1
13714,Unipol Student Homes,Tier 4,Tier 5,Tier 5,59.34,70.0,110.0,689,2
1372,Banstead Prep School,Tier 4,Free,Free,,0.0,180.12,769,8
13724,Dissenters Players,NIL,Nil,Nil,,0.0,43.33,0,1
13727,Ilkley Gym Club,NIL,Nil,Nil,,0.0,25.33,0,2
13729,Manchester High School for Girls,High Value,Tier 3,Tier 3,14.45,881.02,1172.42,2468,3
1374,Balkanics,NIL,Nil,Nil,,0.0,16.88,0,1
13741,Antony Wilson &amp; Liam Castellas,NIL,Nil,Nil,,25.0,25.0,5,2
13744,Gedling CLP,Tier 2,Free,Free,,0.0,18.0,38,2
13747,Sales Geek South & West Herts,Tier 1,Tier 5,Tier 5,91.69,8.12,10.62,13,2
13751,Great Walstead School,Tier 4,Free,Free,,0.0,0.0,914,3
1376,Marie Curie Scotland Katie Old Data,NIL,Nil,Nil,,0.0,210.42,0,4
13762,STMARKSCEPRIMARY,NIL,Nil,Nil,,0.0,0.0,0,1
13771,George Davies,NIL,Nil,Nil,,0.0,52.12,0,2
13776,Annette Shaw Unstoppable You Coaching,NIL,Nil,Nil,,0.0,0.0,0,1
13779,Harvey Centre Fundraiser,Tier 3,Tier 4,Tier 4,46.68,116.92,171.67,58,3
1378,Langcliffe Singers,Tier 2,Tier 5,Tier 5,53.48,53.29,182.96,88,8
13780,Lottie Chatfield,Tier 2,Tier 5,Tier 5,70.73,42.0,56.75,64,2
13781,Frederic Pettigrew,Tier 1,Tier 5,Tier 5,91.48,13.29,13.29,23,1
13784,Lesley Walker,NIL,Nil,Nil,,0.0,0.0,0,2
13786,Jamia Masjid Bilal,Tier 3,Tier 5,Tier 5,77.34,27.42,28.79,180,3
1379,ASEAN Emerging Researchers Conference 2019 (UK),NIL,Nil,Nil,,0.0,60.51,0,2
13792,Salute to the Sun Yoga,Tier 4,Tier 4,Tier 4,37.89,202.27,282.3,520,2
13795,PACT,Tier 2,Free,Free,,0.0,0.0,87,3
13799,Kent &amp; Medway Looked after Children Team,NIL,Nil,Nil,,0.0,0.0,0,1
1380,Marie Curie Yorkshire Old Data,NIL,Nil,Nil,,0.0,0.0,0,2
13800,Togme Sangpo Studygroup,Tier 3,Tier 4,Tier 4,36.75,204.77,337.06,103,2
13801,Andrea Clare Art,Tier 1,Tier 5,Tier 5,95.04,7.54,7.54,14,1
13803,Rebecca McFarlane,Tier 4,Tier 3,Tier 3,26.22,313.63,572.29,228,3
13805,Friends of Barby School,Tier 4,Tier 4,Tier 4,43.99,151.5,199.77,665,2
13812,Noak Hill Archers,Tier 3,Tier 4,Tier 4,40.83,168.12,261.13,144,2
13814,Your Menopause Your Power,Tier 1,Tier 5,Tier 5,84.16,23.87,23.87,17,1
13816,M3 Job Club,Tier 2,Tier 5,Tier 5,61.7,51.38,136.21,48,2
13817,The Old Oundelian Club,Tier 4,Tier 3,Tier 3,18.45,841.5,841.5,481,2
13818,Windsor Boys School Sport Department,NIL,Nil,Nil,,5.37,130.96,3,1
13820,BOTC Sheffield,Tier 2,Tier 5,Tier 5,69.62,38.62,59.25,103,3
13822,Ilminster Cricket Club,NIL,Nil,Nil,,0.0,35.72,0,2
13826,Judith Carlton,Tier 2,Tier 5,Tier 5,77.4,22.12,44.13,66,3
13830,Brazilian party,NIL,Nil,Nil,,0.0,44.92,0,2
13831,Art at the Duchess,Tier 2,Tier 5,Tier 5,86.98,17.12,24.62,66,1
13832,Leicester High,Tier 3,Tier 4,Tier 4,38.18,186.13,317.12,364,2
13833,Staveley Village Association,Tier 3,Tier 4,Tier 4,49.51,116.71,116.71,243,3
13834,K Kennedy,NIL,Nil,Nil,,0.0,30.0,0,1
13835,Neuro North Forum,NIL,Nil,Nil,,0.0,2.33,0,1
13837,Business Networking For Women  Alderley Edge,Tier 3,Tier 4,Tier 4,37.74,188.08,241.13,356,3
13838,St James Schools,Tier 3,Tier 5,Tier 5,72.62,20.0,184.0,243,1
13839,Network B2B,NIL,Nil,Nil,,0.0,0.0,1,1
13843,The Prince of Wales Hospice,Tier 4,Tier 4,Tier 4,35.19,255.0,276.88,609,2
13845,Ampthill Cultural Events,Key Account,Tier 2,Tier 2,9.96,2353.75,2743.12,5542,2
13847,FOB test site,NIL,Nil,Nil,,0.0,0.0,0,1
13853,Covem Cheshire,Tier 3,Tier 5,Tier 5,65.1,57.0,73.33,171,2
13855,East NSPCC,Tier 1,Tier 5,Tier 5,97.93,1.46,1.46,32,1
13860,Maddison-Greenwell Equestrian,NIL,Nil,Nil,,0.0,36.75,0,1
13862,SaritaPrintsJoy,Tier 2,Tier 5,Tier 5,56.3,79.53,130.4,61,2
13863,Musica,Tier 2,Tier 5,Tier 5,61.36,72.92,109.88,111,1
13864,Light of the Moon,Tier 2,Tier 5,Tier 5,59.92,65.28,116.03,77,2
13866,GNI,Tier 3,Tier 4,Tier 4,37.43,213.58,269.38,119,2
13867,New Choice Improv,Tier 2,Tier 5,Tier 5,77.25,25.58,33.5,77,3
1387,Habs Girls Admissions Team,NIL,Nil,Nil,,0.0,0.0,0,1
13871,WILDSIDE WALKS,NIL,Nil,Nil,,17.33,33.04,7,1
13874,Isabelle Betts,NIL,Nil,Nil,,0.0,8.33,0,1
13878,The Nici (Bournemouth) Limited,Tier 4,Tier 5,Tier 5,73.15,19.0,103.39,527,3
13880,Grazity GV,NIL,Nil,Nil,,0.0,2.0,0,1
13884,F11 Photography,Tier 2,Tier 5,Tier 5,62.68,63.04,85.75,98,2
13885,Dinner at Marias,Tier 2,Tier 5,Tier 5,75.3,25.33,94.33,16,1
13886,Avington Park,Tier 3,Free,Free,,0.0,0.0,204,3
13889,Muslim Women Society,NIL,Nil,Nil,,0.0,113.15,0,1
13895,Naunton Music,Tier 4,Tier 4,Tier 4,27.37,387.16,476.22,482,2
139,King Edward's Witley,NIL,Nil,Nil,,0.0,0.0,0,2
13902,Eltham Kutchenhaus,Tier 2,Free,Free,,0.0,0.0,98,2
13903,York Whisky Club,Tier 4,Tier 3,Tier 3,24.61,450.43,602.02,224,2
13905,The SEND Den,Tier 3,Tier 4,Tier 4,38.97,243.63,255.54,391,1
13908,Little white feather healing,Tier 2,Tier 5,Tier 5,73.71,28.95,69.0,24,2
13910,Old School Weekender,NIL,Nil,Nil,,0.0,29.38,0,1
13913,Hannah Abdulhamid,NIL,Nil,Nil,,0.0,4.96,0,1
13915,ABM Skittles Club,NIL,Nil,Nil,,0.0,49.29,0,1
13918,South London Integration Hub,NIL,Nil,Nil,,0.0,0.0,0,1
1392,Creative Theatre Arts,NIL,Nil,Nil,,0.0,25.75,0,1
13920,SheffieldCares,NIL,Nil,Nil,,0.0,0.0,0,1
13922,Hannah Woodhouse,Tier 2,Free,Free,,0.0,0.0,42,1
13923,Laura Coulthard,NIL,Nil,Nil,,0.0,40.62,0,1
13924,Dales Trailer Hire,NIL,Nil,Nil,,0.0,0.0,0,1
13926,Kenmore Primary School Parent Council,NIL,Nil,Nil,,0.0,5.04,0,1
13929,Panache Cheer Fundraising,NIL,Nil,Nil,,0.0,31.08,0,1
1393,Stinkeye UK,Tier 4,Tier 3,Tier 3,18.48,313.46,1378.29,98,6
13930,Ffrindiau Ysgol Gynradd Llanrug,NIL,Nil,Nil,,0.0,28.5,0,1
13931,The High School Leckhampton,Tier 4,Tier 3,Tier 3,20.87,520.62,943.79,1079,2
13932,Good Grief Dear CIC,Tier 1,Tier 5,Tier 5,90.18,9.83,14.75,28,2
13934,Cumbria Careers Hub,Tier 3,Free,Free,,0.0,0.0,315,2
13937,Craiglockhart Parent and Carer Council,Tier 3,Tier 5,Tier 5,52.53,94.33,150.41,163,2
13939,St Albans High School Music Department,NIL,Nil,Nil,,0.0,12.71,0,1
13941,Ormiston Sudbury Academy,Tier 4,Tier 3,Tier 3,15.94,837.12,1367.37,1491,2
13943,Carla Kronfli,Tier 1,Tier 5,Tier 5,90.49,9.75,25.5,13,1
13945,North West NSPCC,Tier 2,Tier 5,Tier 5,72.17,41.67,68.58,94,1
13946,Suffolk Community Foundation,Tier 4,Tier 4,Tier 4,47.35,142.04,142.04,857,2
13947,A Durcan Kingston Grammar School,NIL,Nil,Nil,,0.0,0.0,0,1
13952,GarjanaUK,NIL,Nil,Nil,,0.0,0.0,0,1
13955,Garjana UK,Tier 3,Tier 5,Tier 5,95.14,2.5,2.5,298,2
13958,SDG Embedded Solutions CIC,NIL,Nil,Nil,,0.0,0.0,0,1
13959,LOSSIEFEST,High Value,Tier 3,Tier 3,21.59,581.39,1143.03,2939,1
1396,Nosewise,NIL,Nil,Nil,,0.0,5.5,0,1
13963,ACN Scotland Office,Tier 3,Tier 5,Tier 5,68.22,13.33,404.13,152,2
13965,Rattle and Brash,Tier 4,Tier 4,Tier 4,34.64,248.04,326.71,598,2
13966,Lancing College,Tier 2,Free,Free,,0.0,5.25,51,2
13968,Herts Music Service,Tier 4,Tier 4,Tier 4,42.87,175.71,176.08,608,2
13969,Lancaster Photographic Society,Tier 1,Tier 5,Tier 5,92.48,6.58,9.58,19,2
1397,Bowjangles,NIL,Nil,Nil,,0.0,19.71,0,1
13971,Food in a Field,NIL,Nil,Nil,,0.0,82.92,0,1
13973,Rammy Ladies,Tier 2,Tier 5,Tier 5,64.4,55.33,86.75,76,2
13974,Woodhall Country Park Ltd,Key Account,Tier 3,Tier 2,12.8,1469.46,1546.12,5481,2
13975,Red Squash Theatre,NIL,Nil,Nil,,0.0,144.78,0,1
13976,Kierstenson,Tier 3,Tier 4,Tier 4,42.38,166.96,209.92,314,2
13979,AIM Kent,Tier 4,Tier 3,Tier 3,17.83,684.19,1196.02,359,2
13982,Naylor Accountancy Services,Tier 1,Tier 5,Tier 5,84.34,19.26,34.86,13,1
13983,Oxclose Community Academy,Tier 4,Tier 4,Tier 4,32.71,301.37,301.37,1523,2
13985,Reading Community Hub,NIL,Nil,Nil,,0.0,19.0,0,1
13987,Heather Rose,Tier 3,Tier 4,Tier 4,48.41,123.25,158.58,369,2
13990,Burntwood Swimming Club,NIL,Nil,Nil,,0.0,23.27,0,1
13996,Plymouth Dolphins,Tier 2,Tier 5,Tier 5,79.87,25.29,47.29,29,1
13998,Sales Geek C&S Bucks,NIL,Nil,Nil,,0.0,0.62,0,1
13999,Madeley Academy,NIL,Nil,Nil,,0.0,0.0,0,1
14,Institute of Medical Illustrators,Tier 4,Tier 5,Tier 5,52.06,11.0,5719.6,254,12
140,Reeds School,High Value,Tier 4,Tier 4,46.23,46.58,723.83,2329,9
14001,Think : Listen : Chat,Tier 2,Tier 5,Tier 5,78.58,25.5,57.44,10,1
14002,The City of Sheffield Youth Orchestra,Tier 4,Tier 3,Tier 3,19.78,718.0,798.21,843,2
14005,The Confident You by Drama Jo,NIL,Nil,Nil,,2.9,17.61,3,1
14006,The Blandford School,High Value,Tier 3,Tier 3,16.91,966.85,966.85,2699,2
14008,Alexander Kyle,Tier 2,Tier 5,Tier 5,72.01,40.13,51.17,71,2
14009,AISA events,Tier 3,Tier 4,Tier 4,47.7,107.17,347.54,112,1
1401,Sedbergh School,High Value,Tier 1,Tier 1,1.75,2437.44,8723.41,2985,8
14013,Bob &amp; Blether,NIL,Nil,Nil,,0.0,312.62,0,1
14015,Rushgreen Bowmen,NIL,Nil,Nil,,0.0,50.0,0,1
14016,Chalk & Cheese The Stables,NIL,Nil,Nil,,0.0,21.67,0,1
1402,Crosscrake Hub,NIL,Nil,Nil,,0.0,34.29,0,1
14022,Network Youth Church,NIL,Nil,Nil,,0.0,25.29,0,1
